Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-2.2467E-05,-1.5826E-05,0.037461,0,0,0,0.39916,0.00032485,5.025E-08,-2.2819E-07,0.00032522,-1.8676E-07,0.00048667,0,0,0,0,0,0,package://plex_arm_urdf_3/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://plex_arm_urdf_3/meshes/base_link.STL,,base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_2,0.0021138,-0.016329,0.052462,0,0,0,1.0133,0.0014335,-1.4203E-05,7.5921E-06,0.001499,0.00012324,0.0014189,0,0,0,0,0,0,package://plex_arm_urdf_3/meshes/link_2.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://plex_arm_urdf_3/meshes/link_2.STL,,link_2-1,Origin_joint_1,Axis_joint_1,joint_1,continuous,0,0,0.0641,0,0,0,base_link,0,0,1,,,,,,,,,,,,
link_3,0.26754,0.053738,-0.031859,0,0,0,1.3505,0.0013405,4.1403E-05,0.0002258,0.0032102,-5.27E-06,0.0031982,0,0,0,0,0,0,package://plex_arm_urdf_3/meshes/link_3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://plex_arm_urdf_3/meshes/link_3.STL,,link_3-1,Origin_joint_2,Axis_joint_2,joint_2,continuous,-0.0016216,-0.058978,0.063,0,0,0,link_2,-0.027485,-0.99962,0,,,,,,,,,,,,
link_4,0.082946,-0.041589,0.059096,0,0,0,0.53981,0.0004222,7.614E-06,-0.00010509,0.00066838,6.346E-06,0.00062584,0,0,0,0,0,0,package://plex_arm_urdf_3/meshes/link_4.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://plex_arm_urdf_3/meshes/link_4.STL,,link_4-1,Origin_joint_3,Axis_joint_3,joint_3,continuous,0.42375,0.10171,-0.050398,0,0,0,link_3,-0.027485,-0.99962,0,,,,,,,,,,,,
link_5,0.015109,-0.00066097,0.23769,0,0,0,0.56411,0.0011559,1.6719E-06,-5.4768E-05,0.0011686,7.9723E-07,0.00028936,0,0,0,0,0,0,package://plex_arm_urdf_3/meshes/link_5.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://plex_arm_urdf_3/meshes/link_5.STL,,link_5-1,Origin_joint_4,Axis_joint_4,joint_4,continuous,0.096215,-0.055479,0.11335,0,0,0,link_4,0.063628,-0.0017495,0.99797,,,,,,,,,,,,
link_6,0.037346,-0.016629,0.039697,0,0,0,0.20707,8.7908E-05,1.4913E-05,2.6473E-05,0.00015558,-6.0339E-06,0.00012787,0,0,0,0,0,0,package://plex_arm_urdf_3/meshes/link_6.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://plex_arm_urdf_3/meshes/link_6.STL,,link_6-1,Origin_joint_5,Axis_joint_5,joint_5,continuous,0.019526,-0.00053686,0.30625,0,0,0,link_5,-0.16576,-0.98613,0.00884,,,,,,,,,,,,
