Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0013285,-0.0013224,0.037461,0,0,0,0.39916,0.00032485,5.025E-08,-2.2819E-07,0.00032522,-1.8676E-07,0.00048667,0,0,0,0,0,0,package://plex_arm_2/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://plex_arm_2/meshes/base_link.STL,,base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_2,6.3613E-05,-0.016265,0.055354,0,0,0,1.0133,0.0014695,-6.0098E-08,5.8462E-08,0.0014982,0.00010509,0.0013838,0,0,0,0,0,0,package://plex_arm_2/meshes/link_2.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://plex_arm_2/meshes/link_2.STL,,link_2-1,Origin_joint_2,Axis_joint_2,joint_2,revolute,0.0013509,-0.0013066,0.0641,0,-0.0012835,-0.027488,base_link,0.0012835,0,1,0,0,0,0,,,,,,,,
link_3,0.00048454,0.0020711,-0.10143,0,0,0,1.3505,0.0032252,3.0835E-07,9.0245E-06,0.003211,-1.0066E-05,0.0013126,0,0,0,0,0,0,package://plex_arm_2/meshes/link_3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://plex_arm_2/meshes/link_3.STL,,link_3-1,Origin_jont_3,Axis_jont_3,joint_3,revolute,-0.0011924,0,0.4323,0,0.0012835,0,link_2,0,-1,0,0,0,0,0,,,,,,,,
link_4,-0.010201,0.01352,0.028625,0,0,0,0.53981,0.00043641,6.5099E-07,-0.00011755,0.00066866,3.5023E-06,0.00061134,0,0,0,0,0,0,package://plex_arm_2/meshes/link_4.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://plex_arm_2/meshes/link_4.STL,,link_4-1,Origin_joint_4,Axis_joint_4,joint_4,revolute,0.089987,0.0015,0.090304,0,0,0,link_3,0,-1,0,0,0,0,0,,,,,,,,
link_5,-5.2719E-06,0.0036972,-0.068702,0,0,0,0.56411,0.0011591,-2.4169E-07,3.1175E-07,0.0011689,4.9596E-07,0.00028591,0,0,0,0,0,0,package://plex_arm_2/meshes/link_5.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://plex_arm_2/meshes/link_5.STL,,link_5-1,Origin_joint_5,Axis_joint_5,joint_5,revolute,-0.00041051,-0.0034488,0.39053,0,0,0,link_4,-0.0012835,0,1,0,0,0,0,,,,,,,,
link_6,-0.028222,-0.0034544,-0.0084206,0,0,0,0.20707,7.2186E-05,7.9371E-07,-5.9922E-06,0.00015872,5.479E-08,0.00014045,0,0,0,0,0,0,package://plex_arm_2/meshes/link_6.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://plex_arm_2/meshes/link_6.STL,,link_6-1,Origin_joint_6,Axis_joint_6,joint_6,revolute,0.0049507,0.016857,0.059516,0,0,0,link_5,-0.026297,0.99965,-3.3751E-05,0,0,0,0,,,,,,,,
