Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-2.2023E-05,-1.6437E-05,0.037561,0,0,0,0.39916,0.00032485,4.0004E-08,-2.2297E-07,0.00032522,-1.9296E-07,0.00048667,0,0,0,0,0,0,package://plex_arm_3/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://plex_arm_3/meshes/base_link.STL,,base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_2,-7.4332E-06,-0.016265,0.055554,0,0,0,1.0133,0.0014695,-1.9498E-07,1.6841E-07,0.0014982,0.00010509,0.0013838,0,0,0,0,0,0,package://plex_arm_3/meshes/Link_2.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://plex_arm_3/meshes/Link_2.STL,,link_2-1,Origin_Joint_1,Axis_Joint_1,Joint_1,continuous,0,0,0.064,0,0,0,base_link,0,0,1,,,,,,,,,,,,
Link_3,0.00040256,0.26786,-0.060583,0,0,0,1.3505,0.0032252,8.7444E-06,8.1897E-08,0.0013126,1.031E-05,0.003211,0,0,0,0,0,0,package://plex_arm_3/meshes/Link_3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://plex_arm_3/meshes/Link_3.STL,,link_3-1,Origin_Joint_2,Axis_Joint_2,Joint_2,continuous,0,-0.0585,0.0632,1.5708,0,0.027488,Link_2,-0.027485,0,0.99962,,,,,,,,,,,,
Link_4,0.078983,-0.064429,-0.039666,0,0,0,0.53981,0.00043662,0.00011741,7.0309E-06,0.00061134,-6.7319E-06,0.00066845,0,0,0,0,0,0,package://plex_arm_3/meshes/Link_4.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://plex_arm_3/meshes/Link_4.STL,,link_4-1,Origin_Joint_3,Axis_Joint_3,Joint_3,continuous,0.0010465,0.4238,-0.11101,3.1416,0,0,Link_3,-0.027485,0,-0.99962,,,,,,,,,,,,
Link_5,-0.00032619,0.0002484,0.25202,0,0,0,0.56411,0.0011591,-2.4169E-07,3.1175E-07,0.0011689,4.9596E-07,0.00028591,0,0,0,0,0,0,package://plex_arm_3/meshes/Link_5.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://plex_arm_3/meshes/Link_5.STL,,link_5-1,Origin_Joint_4,Axis_Joint_4,Joint_4,continuous,0.088719,-0.1056,-0.053459,1.5708,0.027488,0,Link_4,-0.0012835,0,1,,,,,,,,,,,,
Link_6,-0.022935,-0.051096,-0.020613,0,0,0,0.20707,7.2295E-05,5.9884E-06,3.1701E-06,0.00014045,-2.1946E-07,0.00015861,0,0,0,0,0,0,package://plex_arm_3/meshes/Link_6.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://plex_arm_3/meshes/Link_6.STL,,link_6-1,Origin_Joint_5,Axis_Joint_5,Joint_5,continuous,-0.0012321,0.031189,0.32072,-1.5708,0,0.027488,Link_5,0.0011884,3.3751E-05,1,,,,,,,,,,,,
