Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,2.1342E-05,1.7312E-05,0.037561,0,0,0,0.39916,0.00032484,2.4751E-08,2.1501E-07,0.00032522,2.018E-07,0.00048667,0,0,0,0,0,0,package://plex_arm_5/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://plex_arm_5/meshes/base_link.STL,,base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_2,-4.7496E-06,0.016265,0.055554,0,0,0,1.0133,0.0014695,-2.7152E-07,-2.1886E-09,0.0014982,-0.00010509,0.0013838,0,0,0,0,0,0,package://plex_arm_5/meshes/link_2.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://plex_arm_5/meshes/link_2.STL,,link_2-1,Origin_Joint_1,Axis_Joint_1,joint_1,continuous,0,0,0.064,0,0,0,base_link,0,0,1,,,,,,,,,,,,
link_3,4.6264E-06,-0.056429,0.26786,0,0,0,1.3505,0.0032253,2.6072E-07,-2.4663E-08,0.003211,-1.0067E-05,0.0013126,0,0,0,0,0,0,package://plex_arm_5/meshes/link_3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://plex_arm_5/meshes/link_3.STL,,link_3-1,Origin_Joint_2,Axis_Joint_2,joint_2,continuous,0,0.0585,0.0632,0,0,0,link_2,0,1,0,,,,,,,,,,,,
link_4,0.080203,-0.03748,0.064231,0,0,0,0.53981,0.00043584,6.5477E-07,-0.00011712,0.00066865,3.5007E-06,0.00061192,0,0,0,0,0,0,package://plex_arm_5/meshes/link_4.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://plex_arm_5/meshes/link_4.STL,,link_4-1,Origin_Joint_3,Axis_Joint_3,joint_3,continuous,0,-0.006,0.4238,0,0,0,link_3,0,1,0,,,,,,,,,,,,
link_5,0.00030394,0.00024838,0.25202,0,0,0,0.56411,0.0011591,1.7103E-08,-1.8355E-06,0.0011689,5.1735E-07,0.00028591,0,0,0,0,0,0,package://plex_arm_5/meshes/link_5.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://plex_arm_5/meshes/link_5.STL,,link_5-1,Origin_Joint_4,Axis_Joint_4,joint_4,continuous,0.090416,-0.051,0.10538,0,0,0,link_4,0.0011909,0,1,,,,,,,,,,,,
link_6,-0.019318,-0.020642,0.052559,0,0,0,0.20707,7.1787E-05,3.075E-06,-1.223E-06,0.00015862,5.6476E-11,0.00014095,0,0,0,0,0,0,package://plex_arm_5/meshes/link_6.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://plex_arm_5/meshes/link_6.STL,,link_6-1,Origin_Joint_5,Axis_Joint_5,joint_5,continuous,0.00038195,0.0312,0.32073,0,0,0,link_5,0,1,0,,,,,,,,,,,,
EE_assembly,0.075691,0.0025698,-0.00023436,0,0,0,0.55354,0.00065007,3.7444E-05,8.2603E-06,0.00045081,-4.5045E-07,0.00077513,0,0,0,0,0,0,package://plex_arm_5/meshes/EE_assembly.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://plex_arm_5/meshes/EE_assembly.STL,,EE_assembly-1,Origin_joint_6,Axis_joint_6,joint_6,continuous,0.021875,-0.0313,0.059,0,0,0,link_6,1,0,0,,,,,,,,,,,,
